                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,3.2993,4.1479,4.0321,0.00021,0.04237,0.00026,7.00E-05,3.5943,4.782,3.9389,0.00023654,0.00023654,0.00023654
2,2.6596,3.5458,3.2325,0.50813,0.00792,0.00749,0.00278,3.1616,4.7652,3.4233,0.00046514,0.00046514,0.00046514
3,2.1164,3.1311,2.6605,0.52631,0.03458,0.01723,0.00499,2.8173,4.2379,3.158,0.00068432,0.00068432,0.00068432
4,1.8893,2.9201,2.4035,0.53343,0.03583,0.01658,0.00454,2.7651,3.7635,3.0397,0.00067159,0.00067159,0.00067159
5,1.7541,2.7834,2.2609,0.33753,0.04986,0.02353,0.00786,2.7087,3.7542,2.9424,0.00065745,0.00065745,0.00065745
6,1.6766,2.7054,2.1834,0.25998,0.06682,0.02946,0.00904,2.6193,3.6245,2.8975,0.00064331,0.00064331,0.00064331
7,1.6297,2.6191,2.1207,0.1828,0.10933,0.03891,0.01169,2.6912,3.7357,2.9005,0.00062918,0.00062918,0.00062918
8,1.571,2.5702,2.0626,0.29214,0.09876,0.07342,0.02206,2.6453,3.5446,2.8176,0.00061504,0.00061504,0.00061504
9,1.5538,2.5202,2.0331,0.29538,0.13507,0.10567,0.0328,2.5055,3.4037,2.6724,0.0006009,0.0006009,0.0006009
10,1.5192,2.4467,1.9909,0.27813,0.14999,0.10019,0.03211,2.4736,3.2684,2.6944,0.00058677,0.00058677,0.00058677
11,1.5058,2.4069,1.9671,0.34358,0.16173,0.11765,0.03952,2.4957,3.1497,2.6766,0.00057263,0.00057263,0.00057263
12,1.5105,2.3565,1.9503,0.38976,0.16777,0.14734,0.05046,2.4617,3.0375,2.623,0.00055849,0.00055849,0.00055849
13,1.4693,2.3126,1.9186,0.22535,0.24763,0.16355,0.04904,2.4187,2.9737,2.5751,0.00054435,0.00054435,0.00054435
14,1.4552,2.2724,1.8951,0.34582,0.23203,0.19181,0.06523,2.3588,2.8349,2.5624,0.00053022,0.00053022,0.00053022
