                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2546,                 4.2402,                 3.9727,                0.00187,                 0.1087,                0.00149,                0.00058,                 3.2194,                  4.929,                 3.8391,             0.00023654,             0.00023654,             0.00023654
                      2,                 2.3447,                  3.225,                 2.8797,                0.42188,                 0.0456,                0.01512,                0.00423,                  2.906,                 5.7405,                 3.3554,             0.00046514,             0.00046514,             0.00046514
                      3,                 1.9518,                 2.9184,                  2.447,                 0.4646,                0.04792,                0.02579,                0.00836,                 2.6196,                 3.9352,                 3.1347,             0.00068432,             0.00068432,             0.00068432
                      4,                 1.7772,                 2.7722,                 2.2514,                0.34216,                0.08892,                0.02171,                0.00721,                 2.5489,                 4.4887,                  3.021,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.6833,                   2.67,                 2.1433,                0.28621,                0.12321,                0.06627,                0.02244,                 2.4681,                 3.9625,                 2.9251,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.6061,                 2.5541,                 2.0629,                0.40469,                 0.1205,                 0.0956,                0.03178,                 2.4716,                 3.6093,                 2.9905,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.5505,                 2.4623,                 1.9946,                0.43852,                0.17907,                0.15189,                0.05561,                  2.392,                 3.2867,                 2.7845,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.5273,                 2.3879,                 1.9568,                0.36403,                0.16421,                0.12363,                0.04543,                 2.4598,                 4.5895,                 2.8971,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.4905,                 2.3116,                 1.9123,                0.41679,                0.24002,                0.19998,                0.08533,                 2.2555,                 3.1854,                 2.5755,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.4827,                 2.2635,                 1.8846,                0.51941,                0.26776,                0.27462,                0.11576,                 2.2031,                 2.8325,                 2.4996,             0.00058677,             0.00058677,             0.00058677
                     11,                 1.4758,                 2.2256,                 1.8646,                0.46795,                0.29375,                0.26956,                0.11104,                 2.2193,                 2.6459,                 2.5234,             0.00057263,             0.00057263,             0.00057263
                     12,                 1.4363,                 2.1515,                 1.8302,                0.42569,                0.31821,                0.31561,                0.13597,                 2.1568,                 2.4821,                 2.4306,             0.00055849,             0.00055849,             0.00055849
                     13,                 1.4169,                 2.1225,                 1.8117,                0.51786,                0.32924,                 0.3251,                0.13726,                 2.1135,                 2.5559,                 2.4103,             0.00054435,             0.00054435,             0.00054435
                     14,                 1.4198,                 2.0606,                 1.7872,                0.50826,                0.31406,                0.32956,                0.13016,                 2.2142,                 2.5676,                 2.4551,             0.00053022,             0.00053022,             0.00053022
                     15,                 1.3875,                 2.0199,                 1.7645,                0.52496,                0.36367,                0.35765,                0.13795,                 2.1305,                 2.5661,                  2.436,             0.00051608,             0.00051608,             0.00051608
                     16,                  1.375,                 1.9545,                 1.7421,                0.56523,                0.33979,                0.37195,                0.16487,                  2.067,                 2.3356,                   2.33,             0.00050194,             0.00050194,             0.00050194
                     17,                 1.3519,                 1.9497,                 1.7256,                0.55001,                 0.3583,                0.38645,                 0.1602,                 2.0985,                 2.4425,                 2.3673,              0.0004878,              0.0004878,              0.0004878
                     18,                 1.3351,                 1.8827,                 1.7104,                0.57287,                0.40842,                0.44052,                0.19066,                 2.0606,                 2.2492,                 2.3283,             0.00047367,             0.00047367,             0.00047367
                     19,                   1.35,                 1.8379,                 1.7138,                0.66064,                0.41903,                0.45057,                0.20099,                 2.0434,                 2.1077,                 2.2621,             0.00045953,             0.00045953,             0.00045953
                     20,                 1.3129,                 1.8162,                 1.6924,                0.67968,                0.38925,                0.45053,                 0.1817,                 2.0891,                 2.1858,                 2.3208,             0.00044539,             0.00044539,             0.00044539
                     21,                 1.2978,                 1.7729,                 1.6699,                0.63774,                0.39979,                0.44633,                0.19318,                 2.0197,                 2.0853,                 2.2427,             0.00043126,             0.00043126,             0.00043126
                     22,                 1.2875,                 1.7409,                 1.6575,                0.68512,                 0.4151,                0.46603,                0.20456,                 2.0278,                 2.0274,                 2.2411,             0.00041712,             0.00041712,             0.00041712
                     23,                 1.2704,                 1.7091,                 1.6368,                0.61686,                0.47787,                0.50013,                0.20544,                  2.076,                  2.035,                 2.2704,             0.00040298,             0.00040298,             0.00040298
                     24,                 1.2638,                 1.6937,                 1.6392,                0.68134,                 0.4516,                  0.488,                0.23411,                 1.9148,                 1.9066,                 2.1629,             0.00038884,             0.00038884,             0.00038884
                     25,                 1.2699,                 1.6829,                 1.6325,                0.62586,                0.46509,                0.49128,                0.22579,                 1.9623,                 1.9195,                 2.1769,             0.00037471,             0.00037471,             0.00037471
                     26,                 1.2613,                 1.6529,                 1.6187,                0.69056,                0.44848,                0.52259,                0.24199,                 1.9723,                 1.7876,                 2.1882,             0.00036057,             0.00036057,             0.00036057
                     27,                 1.2443,                 1.6225,                 1.6093,                0.69449,                0.50817,                0.55137,                0.26821,                 1.8783,                 1.7761,                 2.1271,             0.00034643,             0.00034643,             0.00034643
                     28,                 1.2343,                 1.5822,                 1.5942,                0.67283,                0.52341,                0.55447,                0.27887,                 1.8329,                 1.6512,                 2.0815,              0.0003323,              0.0003323,              0.0003323
                     29,                 1.2343,                 1.5489,                 1.5846,                0.64585,                0.53927,                0.55609,                0.25143,                  1.996,                 1.7437,                 2.1781,             0.00031816,             0.00031816,             0.00031816
                     30,                 1.2149,                 1.5443,                 1.5731,                0.73004,                0.49181,                0.56449,                0.28008,                 1.8798,                 1.7001,                 2.0927,             0.00030402,             0.00030402,             0.00030402
                     31,                 1.2107,                 1.5253,                  1.575,                0.68395,                0.52687,                0.57183,                0.28462,                 1.8862,                 1.7083,                 2.1048,             0.00028988,             0.00028988,             0.00028988
                     32,                  1.211,                 1.4845,                 1.5601,                0.80027,                 0.5188,                0.59014,                0.29599,                 1.8758,                 1.5454,                 2.0978,             0.00027575,             0.00027575,             0.00027575
                     33,                 1.1906,                 1.4674,                 1.5457,                0.77306,                 0.5632,                0.61809,                0.30435,                 1.8551,                 1.5401,                 2.0635,             0.00026161,             0.00026161,             0.00026161
